state_code,year,indicator_name,value,pillar
KDH,2021,green_hotel_count,4.0,Environmental
KDH,2021,green_hotel_share,0.08163265306122448,Environmental
KDH,2021,n_rivers,26.0,Environmental
KDH,2021,pa_area_fraction,0.150983,Environmental
KDH,2021,waste_tonnes,,Environmental
KDH,2021,wqi_annual,88.08,Environmental
KDH,2021,domestic_visitors_000,4023.002,Social
KDH,2021,hh_water_access,99.5,Social
KDH,2021,hotel_density_per_capita,2.2772691360319746,Social
KDH,2021,motac_hotels_rated_count,49.0,Social
KDH,2021,population,2151.7,Social
KDH,2022,alos_nights,2.1120801053992,Economic
KDH,2022,avg_expenditure_rm,291.717080303793,Economic
KDH,2022,dts_hotels_count,352.0,Economic
KDH,2022,dts_rooms_count,26502.0,Economic
KDH,2022,expenditure_per_visitor,310.187875791458,Economic
KDH,2022,international_arrivals_share,,Economic
KDH,2022,tourism_concentration_ratio,5.171373029448477,Economic
KDH,2022,tourism_receipts_rm_mil,3469.82268561478,Economic
KDH,2022,tourism_trips_000,11894.479,Economic
KDH,2022,coastal_area_fraction,0.189091,Environmental
KDH,2022,estimated_coastal_hotels,9.0,Environmental
KDH,2022,estimated_pa_hotels,7.0,Environmental
KDH,2022,green_hotel_count,4.0,Environmental
KDH,2022,green_hotel_share,0.08163265306122448,Environmental
KDH,2022,n_rivers,33.0,Environmental
KDH,2022,pa_area_fraction,0.150983,Environmental
KDH,2022,waste_tonnes,9036.19,Environmental
KDH,2022,wqi_annual,82.67,Environmental
KDH,2022,domestic_visitors_000,11186.197,Social
KDH,2022,hh_water_access,99.6,Social
KDH,2022,hotel_density_per_capita,2.2652674402477926,Social
KDH,2022,motac_hotels_rated_count,49.0,Social
KDH,2022,population,2163.1,Social
KDH,2023,alos_nights,2.02721858973257,Economic
KDH,2023,avg_expenditure_rm,307.335602280863,Economic
KDH,2023,dts_hotels_count,350.0,Economic
KDH,2023,dts_rooms_count,26308.0,Economic
KDH,2023,expenditure_per_visitor,312.89811617719806,Economic
KDH,2023,international_arrivals_share,,Economic
KDH,2023,tourism_concentration_ratio,6.145853714285715,Economic
KDH,2023,tourism_receipts_rm_mil,4206.61948328264,Economic
KDH,2023,tourism_trips_000,13687.381,Economic
KDH,2023,coastal_area_fraction,0.189091,Environmental
KDH,2023,estimated_coastal_hotels,9.0,Environmental
KDH,2023,estimated_pa_hotels,7.0,Environmental
KDH,2023,green_hotel_count,4.0,Environmental
KDH,2023,green_hotel_share,0.08163265306122448,Environmental
KDH,2023,n_rivers,39.0,Environmental
KDH,2023,pa_area_fraction,0.150983,Environmental
KDH,2023,waste_tonnes,,Environmental
KDH,2023,wqi_annual,81.0,Environmental
KDH,2023,domestic_visitors_000,13444.055,Social
KDH,2023,hh_water_access,99.6,Social
KDH,2023,hotel_density_per_capita,2.2399999999999998,Social
KDH,2023,motac_hotels_rated_count,49.0,Social
KDH,2023,population,2187.5,Social
KDH,2024,alos_nights,2.76758567052739,Economic
KDH,2024,avg_expenditure_rm,310.379378725278,Economic
KDH,2024,dts_hotels_count,350.0,Economic
KDH,2024,dts_rooms_count,26308.0,Economic
KDH,2024,expenditure_per_visitor,338.61067568948744,Economic
KDH,2024,international_arrivals_share,,Economic
KDH,2024,tourism_concentration_ratio,,Economic
KDH,2024,tourism_receipts_rm_mil,4961.15023607227,Economic
KDH,2024,tourism_trips_000,15984.149,Economic
KDH,2024,coastal_area_fraction,0.189091,Environmental
KDH,2024,estimated_coastal_hotels,9.0,Environmental
KDH,2024,estimated_pa_hotels,7.0,Environmental
KDH,2024,green_hotel_count,4.0,Environmental
KDH,2024,green_hotel_share,0.08163265306122448,Environmental
KDH,2024,n_rivers,30.0,Environmental
KDH,2024,pa_area_fraction,0.150983,Environmental
KDH,2024,waste_tonnes,,Environmental
KDH,2024,wqi_annual,80.5,Environmental
KDH,2024,domestic_visitors_000,14651.4879543306,Social
KDH,2024,hh_water_access,,Social
KDH,2024,hotel_density_per_capita,,Social
KDH,2024,motac_hotels_rated_count,49.0,Social
KDH,2024,population,,Social
KDH,2025,alos_nights,2.8191254738061,Economic
KDH,2025,avg_expenditure_rm,312.760864144746,Economic
KDH,2025,dts_hotels_count,358.0,Economic
KDH,2025,dts_rooms_count,27078.0,Economic
KDH,2025,expenditure_per_visitor,353.6834359234628,Economic
KDH,2025,international_arrivals_share,,Economic
KDH,2025,tourism_concentration_ratio,,Economic
KDH,2025,tourism_receipts_rm_mil,5520.25004061484,Economic
KDH,2025,tourism_trips_000,17650.0664675874,Economic
KDH,2025,coastal_area_fraction,0.189091,Environmental
KDH,2025,estimated_coastal_hotels,9.0,Environmental
KDH,2025,estimated_pa_hotels,7.0,Environmental
KDH,2025,green_hotel_count,4.0,Environmental
KDH,2025,green_hotel_share,0.08163265306122448,Environmental
KDH,2025,n_rivers,23.0,Environmental
KDH,2025,pa_area_fraction,0.150983,Environmental
KDH,2025,waste_tonnes,,Environmental
KDH,2025,wqi_annual,75.83,Environmental
KDH,2025,domestic_visitors_000,15607.884,Social
KDH,2025,hh_water_access,,Social
KDH,2025,hotel_density_per_capita,,Social
KDH,2025,motac_hotels_rated_count,49.0,Social
KDH,2025,population,,Social
KTN,2020,alos_nights,1.85860052110295,Economic
KTN,2020,avg_expenditure_rm,236.765634074902,Economic
KTN,2020,dts_hotels_count,182.0,Economic
KTN,2020,dts_rooms_count,8720.0,Economic
KTN,2020,expenditure_per_visitor,256.6978609158835,Economic
KTN,2020,international_arrivals_share,,Economic
KTN,2020,tourism_concentration_ratio,3.379739470013947,Economic
KTN,2020,tourism_receipts_rm_mil,1555.12261713697,Economic
KTN,2020,tourism_trips_000,6568.194,Economic
KTN,2020,coastal_area_fraction,0.05584,Environmental
KTN,2020,estimated_coastal_hotels,0.0,Environmental
KTN,2020,estimated_pa_hotels,2.0,Environmental
KTN,2020,green_hotel_count,,Environmental
KTN,2020,green_hotel_share,0.0,Environmental
KTN,2020,n_rivers,74.0,Environmental
KTN,2020,pa_area_fraction,0.286271,Environmental
KTN,2020,waste_tonnes,,Environmental
KTN,2020,wqi_annual,81.88,Environmental
KTN,2020,domestic_visitors_000,6058.183,Social
KTN,2020,hh_water_access,67.9,Social
KTN,2020,hotel_density_per_capita,0.3905160390516039,Social
KTN,2020,motac_hotels_rated_count,7.0,Social
KTN,2020,population,1792.5,Social
KTN,2021,alos_nights,3.13854552971283,Economic
KTN,2021,avg_expenditure_rm,242.037098915131,Economic
KTN,2021,dts_hotels_count,182.0,Economic
KTN,2021,dts_rooms_count,8720.0,Economic
KTN,2021,expenditure_per_visitor,248.43285677248778,Economic
KTN,2021,international_arrivals_share,,Economic
KTN,2021,tourism_concentration_ratio,1.0599404072173482,Economic
KTN,2021,tourism_receipts_rm_mil,477.222127559975,Economic
KTN,2021,tourism_trips_000,1971.69,Economic
KTN,2021,coastal_area_fraction,0.05584,Environmental
KTN,2021,estimated_coastal_hotels,0.0,Environmental
KTN,2021,estimated_pa_hotels,2.0,Environmental
KTN,2021,green_hotel_count,,Environmental
KTN,2021,green_hotel_share,0.0,Environmental
KTN,2021,n_rivers,36.0,Environmental
KTN,2021,pa_area_fraction,0.286271,Environmental
KTN,2021,waste_tonnes,,Environmental
KTN,2021,wqi_annual,72.11,Environmental
KTN,2021,domestic_visitors_000,1920.93,Social
KTN,2021,hh_water_access,67.9,Social
KTN,2021,hotel_density_per_capita,0.3862495171881035,Social
KTN,2021,motac_hotels_rated_count,7.0,Social
KTN,2021,population,1812.3,Social
KTN,2022,alos_nights,3.15837090332652,Economic
KTN,2022,avg_expenditure_rm,294.432794968762,Economic
KTN,2022,dts_hotels_count,182.0,Economic
KTN,2022,dts_rooms_count,8720.0,Economic
KTN,2022,expenditure_per_visitor,390.2465028819848,Economic
KTN,2022,international_arrivals_share,,Economic
KTN,2022,tourism_concentration_ratio,3.6202092210204304,Economic
KTN,2022,tourism_receipts_rm_mil,2586.22406280686,Economic
KTN,2022,tourism_trips_000,8783.75,Economic
KTN,2022,coastal_area_fraction,0.05584,Environmental
KTN,2022,estimated_coastal_hotels,0.0,Environmental
KTN,2022,estimated_pa_hotels,2.0,Environmental
KTN,2022,green_hotel_count,,Environmental
KTN,2022,green_hotel_share,0.0,Environmental
KTN,2022,n_rivers,37.0,Environmental
KTN,2022,pa_area_fraction,0.286271,Environmental
KTN,2022,waste_tonnes,,Environmental
KTN,2022,wqi_annual,78.43,Environmental
KTN,2022,domestic_visitors_000,6627.155,Social
KTN,2022,hh_water_access,70.2,Social
KTN,2022,hotel_density_per_capita,0.3823882879930078,Social
KTN,2022,motac_hotels_rated_count,7.0,Social
KTN,2022,population,1830.6,Social
KTN,2023,alos_nights,3.07348440786154,Economic
KTN,2023,avg_expenditure_rm,347.145908885391,Economic
KTN,2023,dts_hotels_count,182.0,Economic
KTN,2023,dts_rooms_count,8720.0,Economic
KTN,2023,expenditure_per_visitor,427.63635819028605,Economic
KTN,2023,international_arrivals_share,,Economic
KTN,2023,tourism_concentration_ratio,4.0640450043066325,Economic
KTN,2023,tourism_receipts_rm_mil,3228.385093431,Economic
KTN,2023,tourism_trips_000,9299.793,Economic
KTN,2023,coastal_area_fraction,0.05584,Environmental
KTN,2023,estimated_coastal_hotels,0.0,Environmental
KTN,2023,estimated_pa_hotels,2.0,Environmental
KTN,2023,green_hotel_count,,Environmental
KTN,2023,green_hotel_share,0.0,Environmental
KTN,2023,n_rivers,35.0,Environmental
KTN,2023,pa_area_fraction,0.286271,Environmental
KTN,2023,waste_tonnes,,Environmental
KTN,2023,wqi_annual,83.6,Environmental
KTN,2023,domestic_visitors_000,7549.37,Social
KTN,2023,hh_water_access,70.2,Social
KTN,2023,hotel_density_per_capita,0.3768303186907838,Social
KTN,2023,motac_hotels_rated_count,7.0,Social
KTN,2023,population,1857.6,Social
KTN,2024,alos_nights,2.98185888956928,Economic
KTN,2024,avg_expenditure_rm,364.304223365218,Economic
KTN,2024,dts_hotels_count,182.0,Economic
KTN,2024,dts_rooms_count,8720.0,Economic
KTN,2024,expenditure_per_visitor,431.84647586414206,Economic
KTN,2024,international_arrivals_share,,Economic
KTN,2024,tourism_concentration_ratio,,Economic
KTN,2024,tourism_receipts_rm_mil,4540.61133613717,Economic
KTN,2024,tourism_trips_000,12463.79,Economic
KTN,2024,coastal_area_fraction,0.05584,Environmental
KTN,2024,estimated_coastal_hotels,0.0,Environmental
KTN,2024,estimated_pa_hotels,2.0,Environmental
KTN,2024,green_hotel_count,,Environmental
KTN,2024,green_hotel_share,0.0,Environmental
KTN,2024,n_rivers,20.0,Environmental
KTN,2024,pa_area_fraction,0.286271,Environmental
KTN,2024,waste_tonnes,,Environmental
KTN,2024,wqi_annual,82.25,Environmental
KTN,2024,domestic_visitors_000,10514.411,Social
KTN,2024,hh_water_access,,Social
KTN,2024,hotel_density_per_capita,,Social
KTN,2024,motac_hotels_rated_count,7.0,Social
KTN,2024,population,,Social
KTN,2025,alos_nights,2.97778806075638,Economic
KTN,2025,avg_expenditure_rm,382.111877657725,Economic
KTN,2025,dts_hotels_count,182.0,Economic
KTN,2025,dts_rooms_count,8720.0,Economic
KTN,2025,expenditure_per_visitor,434.3393572167969,Economic
KTN,2025,international_arrivals_share,,Economic
KTN,2025,tourism_concentration_ratio,,Economic
KTN,2025,tourism_receipts_rm_mil,5239.00827617872,Economic
KTN,2025,tourism_trips_000,13710.6658612469,Economic
KTN,2025,coastal_area_fraction,0.05584,Environmental
KTN,2025,estimated_coastal_hotels,0.0,Environmental
KTN,2025,estimated_pa_hotels,2.0,Environmental
KTN,2025,green_hotel_count,,Environmental
KTN,2025,green_hotel_share,0.0,Environmental
KTN,2025,n_rivers,24.0,Environmental
KTN,2025,pa_area_fraction,0.286271,Environmental
KTN,2025,waste_tonnes,,Environmental
KTN,2025,wqi_annual,76.08,Environmental
KTN,2025,domestic_visitors_000,12062.016,Social
KTN,2025,hh_water_access,,Social
KTN,2025,hotel_density_per_capita,,Social
KTN,2025,motac_hotels_rated_count,7.0,Social
KTN,2025,population,,Social
KUL,2020,alos_nights,1.83112388005242,Economic
KUL,2020,avg_expenditure_rm,398.777592465634,Economic
KUL,2020,dts_hotels_count,448.0,Economic
KUL,2020,dts_rooms_count,81794.0,Economic
