state_code,year,alos_nights,avg_expenditure_rm,domestic_visitors_000,tourism_receipts_rm_mil,tourism_trips_000,dts_hotels_count,dts_rooms_count,population,hh_water_access,wqi_annual,n_rivers,waste_tonnes,coastal_area_fraction,pa_area_fraction,estimated_coastal_hotels,estimated_pa_hotels,motac_hotels_rated_count,green_hotel_count,tourism_concentration_ratio,expenditure_per_visitor,hotel_density_per_capita,green_hotel_share,international_arrivals_share
LBN,2025,2.5111429216529,556.906326483549,604.37,379.287242159903,681.061112296607,86.0,3716.0,,100.0,,,,1.0,0.0755,4,0,4,,,627.5745688235733,,0.0,
MLK,2020,1.80179499171813,238.118996342775,7274.547,2372.6250612483,9964.031,344.0,33858.0,998.4,100.0,69.11,27.0,,0.21115,0.129279,14,9,66,,7.286204927884615,326.1543380293371,6.610576923076923,0.0,
MLK,2021,1.8643007203704,230.076070285086,3878.14,1004.11271080667,4364.264,346.0,34062.0,1004.5,100.0,71.09,11.0,,0.21115,0.129279,14,9,66,,3.860766550522648,258.916055327211,6.570433051269288,0.0,
MLK,2022,2.13841463522688,290.532602800646,11757.166,4842.59364655733,16667.987,352.0,36110.0,1008.6,100.0,59.81,16.0,5378.53,0.21115,0.129279,14,9,66,,11.656916517945666,411.88443257136373,6.543723973825104,0.0,
MLK,2023,2.23400775634919,320.418463117192,15558.661,6438.41105660879,20093.758,354.0,36446.0,1027.5,100.0,62.69,13.0,,0.21115,0.129279,14,9,66,,15.142249148418491,413.8152413378497,6.423357664233577,0.0,
MLK,2024,2.13441079422518,328.169251447828,19128.405,7933.20647467174,24174.131,354.0,36536.0,,,70.0,7.0,,0.21115,0.129279,14,9,66,,,414.73434270508915,,0.0,
MLK,2025,2.11048007597558,330.316605435771,20832.201530282,8732.39649344146,26436.4441561187,362.0,41100.0,,,57.57,7.0,,0.21115,0.129279,14,9,66,,,419.1778041676449,,0.0,
NSN,2020,1.89511215363317,233.400956610198,7917.736,2232.9800948256,9567.142,,,1200.0,99.9,73.59,17.0,,0.035634,0.408746,1,15,37,1.0,6.598113333333333,282.0225497320952,3.0833333333333335,0.02702702702702703,
NSN,2021,1.72219303562174,185.113161679384,5485.17,1213.38512045771,6554.829,282.0,18792.0,1204.2,99.9,75.22,9.0,,0.035634,0.408746,1,15,37,1.0,4.555032386646737,221.21194428936752,3.0725793057631625,0.02702702702702703,
NSN,2022,2.4775740593211,255.72092289879,11490.144,3651.3406055165,14278.615,286.0,19084.0,1207.9,99.8,68.6,10.0,,0.035634,0.408746,1,15,37,1.0,9.512496067555261,317.7802302143907,3.0631674807517175,0.02702702702702703,
NSN,2023,2.41840105295885,268.378701850998,14959.47,4777.28125500884,17800.523,286.0,19072.0,1224.3,99.8,77.1,10.0,,0.035634,0.408746,1,15,37,1.0,12.218794413134036,319.34829609664246,3.0221350976067956,0.02702702702702703,
NSN,2024,2.25257557638478,269.037135995746,17784.532,5869.462129308,21816.55,290.0,19214.0,,,75.33,6.0,,0.035634,0.408746,1,15,37,1.0,,330.03185742014466,,0.02702702702702703,
NSN,2025,2.29491785206345,271.325492932631,19356.545,6529.26193925348,24064.3142989688,320.0,26548.0,,,64.17,6.0,,0.035634,0.408746,1,15,37,1.0,,337.31546302573526,,0.02702702702702703,
PHG,2020,1.92726887226897,264.733443048942,9905.002,2748.04988629641,10380.441,600.0,50750.0,1591.3,97.9,82.35,54.0,,0.027,0.492984,2,28,57,2.0,6.224471815496764,277.44061902222836,3.581976999937159,0.03508771929824561,
PHG,2021,1.92173287260011,260.879802567185,3404.772,914.378229522129,3504.979,602.0,51054.0,1601.5,97.9,78.4,25.0,,0.027,0.492984,2,28,57,2.0,2.1259893849516076,268.55784455526805,3.5591632844208556,0.03508771929824561,
PHG,2022,2.10555957854831,354.594465490744,13188.959,5316.78906097375,14993.999,604.0,51202.0,1614.3,98.3,77.74,19.0,9278.12,0.027,0.492984,2,28,57,2.0,8.170079291333705,403.12423906797716,3.530942204051292,0.03508771929824561,
PHG,2023,2.12715370546925,381.865639613674,16455.567,6733.34364809185,17632.756,606.0,51248.0,1642.7,98.3,83.67,24.0,,0.027,0.492984,2,28,57,2.0,10.017390272112983,409.18332671805535,3.469897120594144,0.03508771929824561,
PHG,2024,2.16717969419742,384.28211516556,20173.876,8709.75913589491,22665.013,606.0,51248.0,,,82.85,20.0,,0.027,0.492984,2,28,57,2.0,,431.7345430245982,,0.03508771929824561,
PHG,2025,2.20889169822045,389.4271811099,23161.166,9846.76892463924,25285.2635929909,610.0,52074.0,,,77.2,5.0,,0.027,0.492984,2,28,57,2.0,,425.1413303043223,,0.03508771929824561,
PJY,2020,1.97566682671892,311.271836413617,451.113,141.909764036477,455.903,14.0,3538.0,109.2,100.0,80.0,3.0,,0.0,0.143691,0,1,8,,4.1310714285714285,314.57697746790046,7.326007326007327,0.0,
PJY,2021,2.2291693802597,289.733181683962,223.006,67.8552214172023,234.199,14.0,3538.0,115.2,100.0,,,,0.0,0.143691,0,1,8,,1.9358159722222221,304.2753173331762,6.944444444444445,0.0,
PJY,2022,2.68201347432327,293.986883777739,1305.808,455.990707978533,1551.058,14.0,3538.0,117.0,100.0,,,43662.43,0.0,0.143691,0,1,8,,11.160752136752137,349.20195616701153,6.837606837606838,0.0,
PJY,2023,2.07967253905832,340.900665253711,1900.379,669.729015248793,1964.587,14.0,3538.0,119.2,100.0,91.0,3.0,,0.0,0.143691,0,1,8,,15.942776845637583,352.4186571461761,6.7114093959731544,0.0,
PJY,2024,2.14358593212722,345.613619580919,2556.836,936.976148978471,2711.051,14.0,3538.0,,100.0,77.0,2.0,,0.0,0.143691,0,1,8,,,366.45922889793127,,0.0,
PJY,2025,2.49800733812141,355.209001976078,3146.484,1235.86095269889,3479.25009170269,14.0,3538.0,,100.0,79.0,1.0,,0.0,0.143691,0,1,8,,,392.775222343063,,0.0,
PLS,2020,2.4461569279846,179.689619709996,1193.108,224.066307262435,1246.963,64.0,2490.0,284.9,99.6,87.0,25.0,,0.515159,0.217586,3,1,5,,4.187813267813268,187.80052372663246,1.755001755001755,0.0,
PLS,2021,2.20914101234874,182.778836014478,406.796,78.0132972300273,426.818,64.0,2490.0,287.6,99.6,85.28,25.0,,0.515159,0.217586,3,1,5,,1.4144506258692626,191.774986061877,1.7385257301808066,0.0,
PLS,2022,2.34666728507533,253.182171676873,1669.175,455.618787502378,1799.569,64.0,2490.0,289.8,100.0,86.8,25.0,1825.04,0.515159,0.217586,3,1,5,,5.759748102139406,272.9604669985939,1.725327812284334,0.0,
PLS,2023,2.20641466269676,272.934834656525,1950.771,583.870113407444,2139.229,64.0,2490.0,292.7,100.0,88.83,24.0,,0.515159,0.217586,3,1,5,,6.664745473180731,299.30223148049873,1.7082336863682952,0.0,
PLS,2024,2.48663839005127,273.987282764308,3225.428,1002.81372997629,3660.074,64.0,2570.0,,100.0,87.6,20.0,,0.515159,0.217586,3,1,5,,,310.9087321051005,,0.0,
PLS,2025,2.24678266562286,279.38563855306,3755.682,1211.20382670128,4335.24011103116,66.0,2642.0,,100.0,88.76,17.0,,0.515159,0.217586,3,1,5,,,322.49903658011516,,0.0,
PNG,2020,2.03409916330196,262.932106884268,8929.515,2427.15888222993,9231.124,460.0,44176.0,1740.4,99.9,74.61,51.0,,0.527119,0.170897,48,16,91,5.0,5.1307256952424725,271.81306960455635,5.228683061365203,0.054945054945054944,
PNG,2021,2.14043579846788,224.556241056071,5060.864,1158.8101313766,5160.445,466.0,44812.0,1740.0,99.9,86.45,11.0,,0.527119,0.170897,48,16,91,5.0,2.908542528735632,228.97476228892936,5.2298850574712645,0.054945054945054944,
PNG,2022,2.59063956089525,311.679953765432,10002.735,3648.39930839687,11705.595,478.0,46370.0,1740.9,100.0,61.84,25.0,,0.527119,0.170897,48,16,91,5.0,5.745726348440462,364.74017440198804,5.227181342983514,0.054945054945054944,
PNG,2023,2.40032874269824,378.78603644208,13127.587,5814.73535455749,15350.976,488.0,48068.0,1771.6,100.0,62.88,26.0,,0.527119,0.170897,48,16,91,5.0,7.410017498306615,442.9401499725342,5.136599683901558,0.054945054945054944,
PNG,2024,2.57711545505833,387.497690313427,16604.803,7424.29144738457,19159.576,500.0,50778.0,,,58.46,24.0,,0.527119,0.170897,48,16,91,5.0,,447.11710505596307,,0.054945054945054944,
PNG,2025,2.65290501816531,392.586162736192,17717.979,8490.35816379311,21626.7382034512,506.0,51206.0,,,62.0,14.0,,0.527119,0.170897,48,16,91,5.0,,479.1945042825206,,0.054945054945054944,
PRK,2020,1.8485066338042,236.16544652204,13173.306,3317.0693364196,14045.532,654.0,32396.0,2496.0,99.4,86.76,71.0,,0.092434,0.393332,3,13,34,,5.277766826923077,251.80234456100845,1.3621794871794872,0.0,
